victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A03_t5_s2,A03_t5,craft-A03_t5,A03,5,2
A03_t5_s3,A03_t5,craft-A03_t5,A03,5,3
A03_t5_s4,A03_t5,craft-A03_t5,A03,5,4
A03_t5_s5,A03_t5,craft-A03_t5,A03,5,5
A03_t6_s0,A03_t6,craft-A03_t6,A03,6,0
A03_t6_s1,A03_t6,craft-A03_t6,A03,6,1
A03_t6_s2,A03_t6,craft-A03_t6,A03,6,2
A03_t6_s3,A03_t6,craft-A03_t6,A03,6,3
A03_t6_s4,A03_t6,craft-A03_t6,A03,6,4
A03_t6_s5,A03_t6,craft-A03_t6,A03,6,5
A03_t7_s0,A03_t7,craft-A03_t7,A03,7,0
A03_t7_s1,A03_t7,craft-A03_t7,A03,7,1
A03_t7_s2,A03_t7,craft-A03_t7,A03,7,2
A03_t7_s3,A03_t7,craft-A03_t7,A03,7,3
A03_t7_s4,A03_t7,craft-A03_t7,A03,7,4
A03_t7_s5,A03_t7,craft-A03_t7,A03,7,5
A03_t8_s0,A03_t8,craft-A03_t8,A03,8,0
A03_t8_s1,A03_t8,craft-A03_t8,A03,8,1
A03_t8_s2,A03_t8,craft-A03_t8,A03,8,2
A03_t8_s3,A03_t8,craft-A03_t8,A03,8,3
A03_t8_s4,A03_t8,craft-A03_t8,A03,8,4
A03_t8_s5,A03_t8,craft-A03_t8,A03,8,5
A03_t9_s0,A03_t9,craft-A03_t9,A03,9,0
A03_t9_s1,A03_t9,craft-A03_t9,A03,9,1
A03_t9_s2,A03_t9,craft-A03_t9,A03,9,2
A03_t9_s3,A03_t9,craft-A03_t9,A03,9,3
A03_t9_s4,A03_t9,craft-A03_t9,A03,9,4
A03_t9_s5,A03_t9,craft-A03_t9,A03,9,5
A04_s0,A04,craft-A04,A04,0,0
A04_s1,A04,craft-A04,A04,0,1
A04_s2,A04,craft-A04,A04,0,2
A04_s3,A04,craft-A04,A04,0,3
A04_s4,A04,craft-A04,A04,0,4
A04_s5,A04,craft-A04,A04,0,5
A04_t1_s0,A04_t1,craft-A04_t1,A04,1,0
A04_t1_s1,A04_t1,craft-A04_t1,A04,1,1
A04_t1_s2,A04_t1,craft-A04_t1,A04,1,2
A04_t1_s3,A04_t1,craft-A04_t1,A04,1,3
A04_t1_s4,A04_t1,craft-A04_t1,A04,1,4
A04_t1_s5,A04_t1,craft-A04_t1,A04,1,5
A04_t2_s0,A04_t2,craft-A04_t2,A04,2,0
A04_t2_s1,A04_t2,craft-A04_t2,A04,2,1
A04_t2_s2,A04_t2,craft-A04_t2,A04,2,2
A04_t2_s3,A04_t2,craft-A04_t2,A04,2,3
A04_t2_s4,A04_t2,craft-A04_t2,A04,2,4
A04_t2_s5,A04_t2,craft-A04_t2,A04,2,5
A04_t3_s0,A04_t3,craft-A04_t3,A04,3,0
A04_t3_s1,A04_t3,craft-A04_t3,A04,3,1
A04_t3_s2,A04_t3,craft-A04_t3,A04,3,2
A04_t3_s3,A04_t3,craft-A04_t3,A04,3,3
A04_t3_s4,A04_t3,craft-A04_t3,A04,3,4
A04_t3_s5,A04_t3,craft-A04_t3,A04,3,5
A04_t4_s0,A04_t4,craft-A04_t4,A04,4,0
A04_t4_s1,A04_t4,craft-A04_t4,A04,4,1
A04_t4_s2,A04_t4,craft-A04_t4,A04,4,2
A04_t4_s3,A04_t4,craft-A04_t4,A04,4,3
A04_t4_s4,A04_t4,craft-A04_t4,A04,4,4
A04_t4_s5,A04_t4,craft-A04_t4,A04,4,5
A04_t5_s0,A04_t5,craft-A04_t5,A04,5,0
A04_t5_s1,A04_t5,craft-A04_t5,A04,5,1
A04_t5_s2,A04_t5,craft-A04_t5,A04,5,2
A04_t5_s3,A04_t5,craft-A04_t5,A04,5,3
A04_t5_s4,A04_t5,craft-A04_t5,A04,5,4
A04_t5_s5,A04_t5,craft-A04_t5,A04,5,5
A04_t6_s0,A04_t6,craft-A04_t6,A04,6,0
A04_t6_s1,A04_t6,craft-A04_t6,A04,6,1
A04_t6_s2,A04_t6,craft-A04_t6,A04,6,2
A04_t6_s3,A04_t6,craft-A04_t6,A04,6,3
A04_t6_s4,A04_t6,craft-A04_t6,A04,6,4
A04_t6_s5,A04_t6,craft-A04_t6,A04,6,5
A04_t7_s0,A04_t7,craft-A04_t7,A04,7,0
A04_t7_s1,A04_t7,craft-A04_t7,A04,7,1
A04_t7_s2,A04_t7,craft-A04_t7,A04,7,2
A04_t7_s3,A04_t7,craft-A04_t7,A04,7,3
A04_t7_s4,A04_t7,craft-A04_t7,A04,7,4
A04_t7_s5,A04_t7,craft-A04_t7,A04,7,5
A04_t8_s0,A04_t8,craft-A04_t8,A04,8,0
A04_t8_s1,A04_t8,craft-A04_t8,A04,8,1
A04_t8_s2,A04_t8,craft-A04_t8,A04,8,2
A04_t8_s3,A04_t8,craft-A04_t8,A04,8,3
A04_t8_s4,A04_t8,craft-A04_t8,A04,8,4
A04_t8_s5,A04_t8,craft-A04_t8,A04,8,5
A04_t9_s0,A04_t9,craft-A04_t9,A04,9,0
A04_t9_s1,A04_t9,craft-A04_t9,A04,9,1
A04_t9_s2,A04_t9,craft-A04_t9,A04,9,2
A04_t9_s3,A04_t9,craft-A04_t9,A04,9,3
A04_t9_s4,A04_t9,craft-A04_t9,A04,9,4
A04_t9_s5,A04_t9,craft-A04_t9,A04,9,5
A05_s0,A05,craft-A05,A05,0,0
A05_s1,A05,craft-A05,A05,0,1
A05_s2,A05,craft-A05,A05,0,2
A05_s3,A05,craft-A05,A05,0,3
A05_s4,A05,craft-A05,A05,0,4
A05_s5,A05,craft-A05,A05,0,5
A05_t1_s0,A05_t1,craft-A05_t1,A05,1,0
A05_t1_s1,A05_t1,craft-A05_t1,A05,1,1
