cell_id,arch,target_class,poison_class,ytargetadv,target_id,npoison,ncraftstep,nreplay,objective,note
A11_t8,VGG13BN,2,5,5,8,5,61,6,cwT,fig4-dogbird-VGG13BN-npoison5-target8
A11_t9,VGG13BN,2,5,5,9,5,61,6,cwT,fig4-dogbird-VGG13BN-npoison5-target9
A12_t1,VGG13BN,2,5,5,1,50,61,6,cwT,fig4-dogbird-VGG13BN-npoison50-target1
A12_t2,VGG13BN,2,5,5,2,50,61,6,cwT,fig4-dogbird-VGG13BN-npoison50-target2
A12_t3,VGG13BN,2,5,5,3,50,61,6,cwT,fig4-dogbird-VGG13BN-npoison50-target3
A12_t4,VGG13BN,2,5,5,4,50,61,6,cwT,fig4-dogbird-VGG13BN-npoison50-target4
A12_t5,VGG13BN,2,5,5,5,50,61,6,cwT,fig4-dogbird-VGG13BN-npoison50-target5
A12_t6,VGG13BN,2,5,5,6,50,61,6,cwT,fig4-dogbird-VGG13BN-npoison50-target6
A12_t7,VGG13BN,2,5,5,7,50,61,6,cwT,fig4-dogbird-VGG13BN-npoison50-target7
A12_t8,VGG13BN,2,5,5,8,50,61,6,cwT,fig4-dogbird-VGG13BN-npoison50-target8
A12_t9,VGG13BN,2,5,5,9,50,61,6,cwT,fig4-dogbird-VGG13BN-npoison50-target9
A13_t1,VGG13BN,2,5,5,1,500,61,6,cwT,fig4-dogbird-VGG13BN-npoison500-target1
A13_t2,VGG13BN,2,5,5,2,500,61,6,cwT,fig4-dogbird-VGG13BN-npoison500-target2
A13_t3,VGG13BN,2,5,5,3,500,61,6,cwT,fig4-dogbird-VGG13BN-npoison500-target3
A13_t4,VGG13BN,2,5,5,4,500,61,6,cwT,fig4-dogbird-VGG13BN-npoison500-target4
A13_t5,VGG13BN,2,5,5,5,500,61,6,cwT,fig4-dogbird-VGG13BN-npoison500-target5
A13_t6,VGG13BN,2,5,5,6,500,61,6,cwT,fig4-dogbird-VGG13BN-npoison500-target6
A13_t7,VGG13BN,2,5,5,7,500,61,6,cwT,fig4-dogbird-VGG13BN-npoison500-target7
A13_t8,VGG13BN,2,5,5,8,500,61,6,cwT,fig4-dogbird-VGG13BN-npoison500-target8
A13_t9,VGG13BN,2,5,5,9,500,61,6,cwT,fig4-dogbird-VGG13BN-npoison500-target9
