cell_id,arch,target_class,poison_class,ytargetadv,target_id,npoison,ncraftstep,nreplay,objective,note
A23_t2,ResNet,2,5,5,2,500,61,6,cwT,fig4-n20-dogbird-ResNet-npoison500-target2
A23_t3,ResNet,2,5,5,3,500,61,6,cwT,fig4-n20-dogbird-ResNet-npoison500-target3
A23_t4,ResNet,2,5,5,4,500,61,6,cwT,fig4-n20-dogbird-ResNet-npoison500-target4
A24_t1,ResNet,2,5,5,1,2500,61,6,cwT,fig4-n20-dogbird-ResNet-npoison2500-target1
A24_t2,ResNet,2,5,5,2,2500,61,6,cwT,fig4-n20-dogbird-ResNet-npoison2500-target2
A24_t3,ResNet,2,5,5,3,2500,61,6,cwT,fig4-n20-dogbird-ResNet-npoison2500-target3
A24_t4,ResNet,2,5,5,4,2500,61,6,cwT,fig4-n20-dogbird-ResNet-npoison2500-target4
A25_t1,ResNet,2,5,5,1,5000,61,6,cwT,fig4-n20-dogbird-ResNet-npoison5000-target1
A25_t2,ResNet,2,5,5,2,5000,61,6,cwT,fig4-n20-dogbird-ResNet-npoison5000-target2
A25_t3,ResNet,2,5,5,3,5000,61,6,cwT,fig4-n20-dogbird-ResNet-npoison5000-target3
A25_t4,ResNet,2,5,5,4,5000,61,6,cwT,fig4-n20-dogbird-ResNet-npoison5000-target4
A26_t1,ResNet,0,6,6,1,5,61,6,cwT,fig4-n20-frogplane-ResNet-npoison5-target1
A26_t2,ResNet,0,6,6,2,5,61,6,cwT,fig4-n20-frogplane-ResNet-npoison5-target2
A26_t3,ResNet,0,6,6,3,5,61,6,cwT,fig4-n20-frogplane-ResNet-npoison5-target3
A26_t4,ResNet,0,6,6,4,5,61,6,cwT,fig4-n20-frogplane-ResNet-npoison5-target4
A27_t1,ResNet,0,6,6,1,50,61,6,cwT,fig4-n20-frogplane-ResNet-npoison50-target1
A27_t2,ResNet,0,6,6,2,50,61,6,cwT,fig4-n20-frogplane-ResNet-npoison50-target2
A27_t3,ResNet,0,6,6,3,50,61,6,cwT,fig4-n20-frogplane-ResNet-npoison50-target3
A27_t4,ResNet,0,6,6,4,50,61,6,cwT,fig4-n20-frogplane-ResNet-npoison50-target4
A28_t1,ResNet,0,6,6,1,500,61,6,cwT,fig4-n20-frogplane-ResNet-npoison500-target1
A28_t2,ResNet,0,6,6,2,500,61,6,cwT,fig4-n20-frogplane-ResNet-npoison500-target2
A28_t3,ResNet,0,6,6,3,500,61,6,cwT,fig4-n20-frogplane-ResNet-npoison500-target3
A28_t4,ResNet,0,6,6,4,500,61,6,cwT,fig4-n20-frogplane-ResNet-npoison500-target4
A29_t1,ResNet,0,6,6,1,2500,61,6,cwT,fig4-n20-frogplane-ResNet-npoison2500-target1
A29_t2,ResNet,0,6,6,2,2500,61,6,cwT,fig4-n20-frogplane-ResNet-npoison2500-target2
A29_t3,ResNet,0,6,6,3,2500,61,6,cwT,fig4-n20-frogplane-ResNet-npoison2500-target3
A29_t4,ResNet,0,6,6,4,2500,61,6,cwT,fig4-n20-frogplane-ResNet-npoison2500-target4
A30_t1,ResNet,0,6,6,1,5000,61,6,cwT,fig4-n20-frogplane-ResNet-npoison5000-target1
A30_t2,ResNet,0,6,6,2,5000,61,6,cwT,fig4-n20-frogplane-ResNet-npoison5000-target2
A30_t3,ResNet,0,6,6,3,5000,61,6,cwT,fig4-n20-frogplane-ResNet-npoison5000-target3
A30_t4,ResNet,0,6,6,4,5000,61,6,cwT,fig4-n20-frogplane-ResNet-npoison5000-target4
