victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A12_t1_s5,A12_t1,craft-A12_t1,A12,1,5
A12_t2_s0,A12_t2,craft-A12_t2,A12,2,0
A12_t2_s1,A12_t2,craft-A12_t2,A12,2,1
A12_t2_s2,A12_t2,craft-A12_t2,A12,2,2
A12_t2_s3,A12_t2,craft-A12_t2,A12,2,3
A12_t2_s4,A12_t2,craft-A12_t2,A12,2,4
A12_t2_s5,A12_t2,craft-A12_t2,A12,2,5
A13_t1_s0,A13_t1,craft-A13_t1,A13,1,0
A13_t1_s1,A13_t1,craft-A13_t1,A13,1,1
A13_t1_s2,A13_t1,craft-A13_t1,A13,1,2
A13_t1_s3,A13_t1,craft-A13_t1,A13,1,3
A13_t1_s4,A13_t1,craft-A13_t1,A13,1,4
A13_t1_s5,A13_t1,craft-A13_t1,A13,1,5
A13_t2_s0,A13_t2,craft-A13_t2,A13,2,0
A13_t2_s1,A13_t2,craft-A13_t2,A13,2,1
A13_t2_s2,A13_t2,craft-A13_t2,A13,2,2
A13_t2_s3,A13_t2,craft-A13_t2,A13,2,3
A13_t2_s4,A13_t2,craft-A13_t2,A13,2,4
A13_t2_s5,A13_t2,craft-A13_t2,A13,2,5
A14_t1_s0,A14_t1,craft-A14_t1,A14,1,0
A14_t1_s1,A14_t1,craft-A14_t1,A14,1,1
A14_t1_s2,A14_t1,craft-A14_t1,A14,1,2
A14_t1_s3,A14_t1,craft-A14_t1,A14,1,3
A14_t1_s4,A14_t1,craft-A14_t1,A14,1,4
A14_t1_s5,A14_t1,craft-A14_t1,A14,1,5
A14_t2_s0,A14_t2,craft-A14_t2,A14,2,0
A14_t2_s1,A14_t2,craft-A14_t2,A14,2,1
A14_t2_s2,A14_t2,craft-A14_t2,A14,2,2
A14_t2_s3,A14_t2,craft-A14_t2,A14,2,3
A14_t2_s4,A14_t2,craft-A14_t2,A14,2,4
A14_t2_s5,A14_t2,craft-A14_t2,A14,2,5
A15_t1_s0,A15_t1,craft-A15_t1,A15,1,0
A15_t1_s1,A15_t1,craft-A15_t1,A15,1,1
A15_t1_s2,A15_t1,craft-A15_t1,A15,1,2
A15_t1_s3,A15_t1,craft-A15_t1,A15,1,3
A15_t1_s4,A15_t1,craft-A15_t1,A15,1,4
A15_t1_s5,A15_t1,craft-A15_t1,A15,1,5
A15_t2_s0,A15_t2,craft-A15_t2,A15,2,0
A15_t2_s1,A15_t2,craft-A15_t2,A15,2,1
A15_t2_s2,A15_t2,craft-A15_t2,A15,2,2
A15_t2_s3,A15_t2,craft-A15_t2,A15,2,3
A15_t2_s4,A15_t2,craft-A15_t2,A15,2,4
A15_t2_s5,A15_t2,craft-A15_t2,A15,2,5
A16_t1_s0,A16_t1,craft-A16_t1,A16,1,0
A16_t1_s1,A16_t1,craft-A16_t1,A16,1,1
A16_t1_s2,A16_t1,craft-A16_t1,A16,1,2
A16_t1_s3,A16_t1,craft-A16_t1,A16,1,3
A16_t1_s4,A16_t1,craft-A16_t1,A16,1,4
A16_t1_s5,A16_t1,craft-A16_t1,A16,1,5
A16_t2_s0,A16_t2,craft-A16_t2,A16,2,0
A16_t2_s1,A16_t2,craft-A16_t2,A16,2,1
A16_t2_s2,A16_t2,craft-A16_t2,A16,2,2
A16_t2_s3,A16_t2,craft-A16_t2,A16,2,3
A16_t2_s4,A16_t2,craft-A16_t2,A16,2,4
A16_t2_s5,A16_t2,craft-A16_t2,A16,2,5
A17_t1_s0,A17_t1,craft-A17_t1,A17,1,0
A17_t1_s1,A17_t1,craft-A17_t1,A17,1,1
A17_t1_s2,A17_t1,craft-A17_t1,A17,1,2
A17_t1_s3,A17_t1,craft-A17_t1,A17,1,3
A17_t1_s4,A17_t1,craft-A17_t1,A17,1,4
A17_t1_s5,A17_t1,craft-A17_t1,A17,1,5
A17_t2_s0,A17_t2,craft-A17_t2,A17,2,0
A17_t2_s1,A17_t2,craft-A17_t2,A17,2,1
A17_t2_s2,A17_t2,craft-A17_t2,A17,2,2
A17_t2_s3,A17_t2,craft-A17_t2,A17,2,3
A17_t2_s4,A17_t2,craft-A17_t2,A17,2,4
A17_t2_s5,A17_t2,craft-A17_t2,A17,2,5
A18_t1_s0,A18_t1,craft-A18_t1,A18,1,0
A18_t1_s1,A18_t1,craft-A18_t1,A18,1,1
A18_t1_s2,A18_t1,craft-A18_t1,A18,1,2
A18_t1_s3,A18_t1,craft-A18_t1,A18,1,3
A18_t1_s4,A18_t1,craft-A18_t1,A18,1,4
A18_t1_s5,A18_t1,craft-A18_t1,A18,1,5
A18_t2_s0,A18_t2,craft-A18_t2,A18,2,0
A18_t2_s1,A18_t2,craft-A18_t2,A18,2,1
A18_t2_s2,A18_t2,craft-A18_t2,A18,2,2
A18_t2_s3,A18_t2,craft-A18_t2,A18,2,3
A18_t2_s4,A18_t2,craft-A18_t2,A18,2,4
A18_t2_s5,A18_t2,craft-A18_t2,A18,2,5
A19_t1_s0,A19_t1,craft-A19_t1,A19,1,0
A19_t1_s1,A19_t1,craft-A19_t1,A19,1,1
A19_t1_s2,A19_t1,craft-A19_t1,A19,1,2
A19_t1_s3,A19_t1,craft-A19_t1,A19,1,3
A19_t1_s4,A19_t1,craft-A19_t1,A19,1,4
A19_t1_s5,A19_t1,craft-A19_t1,A19,1,5
A19_t2_s0,A19_t2,craft-A19_t2,A19,2,0
A19_t2_s1,A19_t2,craft-A19_t2,A19,2,1
A19_t2_s2,A19_t2,craft-A19_t2,A19,2,2
A19_t2_s3,A19_t2,craft-A19_t2,A19,2,3
A19_t2_s4,A19_t2,craft-A19_t2,A19,2,4
A19_t2_s5,A19_t2,craft-A19_t2,A19,2,5
A20_t1_s0,A20_t1,craft-A20_t1,A20,1,0
